review,sentiment,review_lemmatized
mudah bagus apliksi nya versi android aja yg donload versi donload yg donload livin hp nya ga suport nya tdk pakai livin mohon versi nya turunkan,1.0,mudah bagus apliksi dia versi android aja yang donload versi donload yang donload livin hp dia ga suport dia tdk pagai livin mohon versi dia turun
membantu app,1.0,bantu app
livin top membantu memudahkan bertransaksi sukses,1.0,livin top bantu mudah transaksi sukses
bagus,1.0,bagus
memudahkan pembayaran,1.0,mudah bayar
ok,1.0,ok
aplikasi favorit ribet trimakasih,1.0,aplikasi favorit ribet trimakasih
mudah bertransaksi,1.0,mudah transaksi
bantu banget transaksi mudah cepat mantappp kalo transaksi free gak free admin kena hehe,1.0,bantu banget transaksi mudah cepat mantappp kalo transaksi free gak free admin kena hehe
bagus,1.0,bagus
god job livin mandiri,1.0,god job livin mandiri
love mandiri,1.0,love mandiri
membantu,1.0,bantu
mantap,1.0,mantap
membantu,1.0,bantu
udah keren,1.0,udah keren
mantap deh,1.0,mantap deh
super simple membantu,1.0,super simple bantu
membantu aplikasi livin keren,1.0,bantu aplikasi livin keren
membamtu,1.0,bamtu
mudah,1.0,mudah
mantap,1.0,mantap
subarashi,1.0,subarashi
kr n,1.0,kr n
tolong aplikasinya kluar,1.0,tolong aplikasi dia kluar
bagus membantu,1.0,bagus bantu
peningkatan,1.0,tingkat
alhamdulillah terkendala,1.0,alhamdulil lah kendala
aplikasi bagus bug aplikasi dimana aplikasi livin dibuka disaat datanya mati data dinyalakan aplikasi loading masuk,1.0,aplikasi bagus bug aplikasi dimana aplikasi livin buka disaat data dia mati data nyala aplikasi loading masuk
okkeee,1.0,okkeee
ok,1.0,ok
bagus,1.0,bagus
mantap,1.0,mantap
bagus,1.0,bagus
mantap,1.0,mantap
hebat,1.0,hebat
good,1.0,good
memuaskan,1.0,puas
good,1.0,good
harekh stelah d update koq topup pulsa beli token listrik transfer jd gk d klo loading pake banget gmn emang gk d pake lg apk nya,1.0,harekh stelah d update koq topup pulsa beli token listrik transfer jd gk d klo loading pake banget gmn emang gk d pake lg apk dia
keren,1.0,keren
aman lancar,1.0,aman lancar
membantu transaksi evisient,1.0,bantu transaksi evisient
memudahkan trasaksi jos,1.0,mudah trasaksi jos
sangt membantu,1.0,sangt bantu
oke,1.0,oke
very good,1.0,very good
mantap,1.0,mantap
oke banget,1.0,oke banget
mantap,1.0,mantap
good,1.0,good
top,1.0,top
bagus banget mudah penggunaannya,1.0,bagus banget mudah guna dia
livin mandiri maju canggih maju rakyat,1.0,livin mandiri maju canggih maju rakyat
membantu,1.0,bantu
mantap,1.0,mantap
bagus,1.0,bagus
membantu aplikasi sukses mandiri,1.0,bantu aplikasi sukses mandiri
aplikasi mudah tampilan menarik,1.0,aplikasi mudah tampil menarik
membantu,1.0,bantu
bgs,1.0,bgs
bagus mudah,1.0,bagus mudah
suka fitur transaksi lengkap mdh n saldo nambah amin,1.0,suka fitur transaksi lengkap mdh n saldo nambah amin
ok,1.0,ok
mandiri mantapppp,1.0,mandiri mantapppp
keren bingits pokoknya mudah mandiri keren,1.0,keren bingits pokok dia mudah mandiri keren
oke,1.0,oke
mandirian terdepan good,1.0,mandirian terdepan good
livin by mandiri,1.0,livin by mandiri
kren dn mnbntu m,1.0,kren dn mnbntu m
membantu,1.0,bantu
livin by mandiri membantu masyarakat uang masuknya uang,1.0,livin by mandiri bantu masyarakat uang masuk nya uang
bagus,1.0,bagus
praktis cepat,1.0,praktis cepat
ok,1.0,ok
ok,1.0,ok
mantaph bank mandiri transaksi mudah cepat tingkatkan trus,1.0,mantaph bank mandiri transaksi mudah cepat tingkat trus
tthanks,1.0,tthanks
ok,1.0,ok
bagus membantu,1.0,bagus bantu
praktis mumpuni,1.0,praktis mumpuni
livin your life,1.0,livin your life
mantap,1.0,mantap
nice,1.0,nice
bermanfaat trima kasih,1.0,manfaat trima kasih
setahun good sayat membantu,1.0,setahun good sayat bantu
salam sukses,1.0,salam sukses
mantaappp,1.0,mantaappp
bagus fehke,1.0,bagus fehke
keren,1.0,keren
livin kuning mmbantu,1.0,livin kuning mmbantu
top up dana tersedia pencarian penyediajasanya update ulasan topup dana terimakasih,1.0,top up dana tersedia cari penyediajasa dia update ulas topup dana terimakasih
memudahkan bertransaksi mudah fiturnya,1.0,mudah transaksi mudah fitur dia
membantu,1.0,bantu
suka livinbiru,1.0,suka livinbiru
keterangan kartu debit mandiri cetak kirim alamat terima bersangkutan terima kirim alamat keterangan aplikasi livin mandiri terima bersangkutan mohon penjelasannya terimakasih,1.0,terang kartu debit mandiri cetak kirim alamat terima sangkut terima kirim alamat terang aplikasi livin mandiri terima sangkut mohon jelas dia terimakasih
mudah fiturnya,1.0,mudah fitur dia
mantap,1.0,mantap
livin mandiri is the best,1.0,livin mandiri is the best
membantu,1.0,bantu
good,1.0,good
mantap,1.0,mantap
terkadang nomor rekening yg transaksi tersimpan transaksi rekening data ditemukan disimpan datanya semoga diperbaiki,1.0,terkadang nomor rekening yang transaksi simpan transaksi rekening data temu simpan data dia semoga baik
ok,1.0,ok
aplikasinya memudahkan tampilannya menarik,1.0,aplikasi dia mudah tampil dia menarik
mudah cepat layanannya,1.0,mudah cepat layan dia
keren mandiri,1.0,keren mandiri
bagus,1.0,bagus
top bgt,1.0,top bgt
membantu transaksi online,1.0,bantu transaksi online
sdh bagus bagus,1.0,sdh bagus bagus
memba,1.0,memba
kelas,1.0,kelas
holiday with livin very nice,1.0,holiday with livin very nice
phookkoiey paancdhieend thoupr chiers,1.0,phookkoiey paancdhieend thoupr chiers
membantu,1.0,bantu
memudahkan transaksi,1.0,mudah transaksi
simple,1.0,simple
puas banget,1.0,puas banget
ok,1.0,ok
mantap,1.0,mantap
aplikasinya kerennn bangettt gampang buka rekening best bangett deh,1.0,aplikasi dia kerennn bangettt gampang buka rekening best bangett deh
aplikasi parah bangat ga diakses,1.0,aplikasi parah bangat ga akses
memudahkan,1.0,mudah
mantap,1.0,mantap
perlengkapan ultah mainannya lengkap banget,1.0,lengkap ultah main dia lengkap banget
keren,1.0,keren
membantuh sekalih,1.0,bantuh sekalih
mandiri,1.0,mandiri
good,1.0,good
bagus,1.0,bagus
bagus,1.0,bagus
mempermudah,1.0,mudah
membantu praktis cepat transfer dll,1.0,bantu praktis cepat transfer dll
aplikasi bagus mempermudah transaksi livin by mandiri,1.0,aplikasi bagus mudah transaksi livin by mandiri
mantap,1.0,mantap
apl nya membantu penggunaan yg simpel mudah mantap,1.0,apl dia bantu guna yang simpel mudah mantap
mudah praktis,1.0,mudah praktis
ditunggu updatenya bug peforma nya,1.0,tunggu update dia bug peforma dia
aplikasi simple lengkap mudah utk orang awam,1.0,aplikasi simple lengkap mudah utk orang awam
alhamdulillah bagus aplikasi,1.0,alhamdulil lah bagus aplikasi
verifikasi smsnya,1.0,verifikasi smsnya
mudah menggunakannya,1.0,mudah guna dia
sempurna,1.0,sempurna
bagus mendingan wkwkwkwkwk,1.0,bagus ding wkwkwkwkwk
membantu,1.0,bantu
membantu keseharian,1.0,bantu keseharian
bagus membantu,1.0,bagus bantu
enk trafee,1.0,enk trafee
bayar pembayaran e comerce nomor ditemukan nomor pembayaran hasil salinan udah coba ulang tetep iya tetep atm,1.0,bayar bayar e comerce nomor temu nomor bayar hasil salin udah coba ulang tetep iya tetep atm
praktis,1.0,praktis
good,1.0,good
oke,1.0,oke
membantu bertransaksi,1.0,bantu transaksi
apk gajelas,1.0,apk gajelas
bagus,1.0,bagus
mantap bangat aplikasinya lengkap semoga bank mandiri maju sukses,1.0,mantap bangat aplikasi dia lengkap semoga bank mandiri maju sukses
pertahan mutu,1.0,tahan mutu
aplikasi living bermanfaat,1.0,aplikasi living manfaat
the best,1.0,the best
bermanfaat,1.0,manfaat
mengajukan pinjaman aya meren sa eutik mah,1.0,aju pinjam aya meren sa eutik mah
aplikasinya mudah,1.0,aplikasi dia mudah
mantap,1.0,mantap
good,1.0,good
livin by mandiri menjadikan mudah top bgt,1.0,livin by mandiri jadi mudah top bgt
sangan membantu,1.0,sangan bantu
membantu,1.0,bantu
suka aplikasi livin by mandiri pokoknya mantul mantap,1.0,suka aplikasi livin by mandiri pokok dia mantul mantap
pelayanan yg bagus efisien transaksi,1.0,layan yang bagus efisien transaksi
livin kereeeeennn,1.0,livin kereeeeennn
yg kesusahan coba upgrade hape xa spek yg trouble trouble livin mandiri membantu mantap,1.0,yang susah coba upgrade hape xa spek yang trouble trouble livin mandiri bantu mantap
bagus,1.0,bagus
mantap,1.0,mantap
membatu terima kasih,1.0,batu terima kasih
bagus,1.0,bagus
update ya pilihannya install perangkat install perangkat,1.0,update ya pilih dia install perangkat install perangkat
good,1.0,good
baguuuuus,1.0,baguuuuus
keren aplikasinya livin kuning,1.0,keren aplikasi dia livin kuning
membantu,1.0,bantu
jos,1.0,jos
biaya admin ny perbulan nya kurangi,1.0,biaya admin ny perbulan dia kurangi
bagus,1.0,bagus
alhamdulillah lancar,1.0,alhamdulil lah lancar
aplikasi nya oke apalgi kalo saldo gede mantap,1.0,aplikasi dia oke apalgi kalo saldo gede mantap
aplikasi yg membantu mempermudah transaksi bank pembayaran,1.0,aplikasi yang bantu mudah transaksi bank bayar
akun dibuka karna kesalahan sandi kali memegang kartu kreditnya mengaktifkan living mandiri,1.0,akun buka karna salah sandi kali pegang kartu kredit dia aktif living mandiri
membantu,1.0,bantu
nice,1.0,nice
aplikasi yg bagus,1.0,aplikasi yang bagus
siip,1.0,siip
matap,1.0,matap
memudahkan banget,1.0,mudah banget
mudah,1.0,mudah
bagus,1.0,bagus
muantaaappp,1.0,muantaaappp
apk nya bagus muda,1.0,apk dia bagus muda
bagud,1.0,bagud
mantap kali,1.0,mantap kali
memuaskan,1.0,puas
serba simple dlm bertransaksi,1.0,serba simple dlm transaksi
good,1.0,good
mantap semoga enak pakek,1.0,mantap semoga enak pakek
oke,1.0,oke
good,1.0,good
asik bayar ukt gapake ngantri livin by mandiri,1.0,asik bayar ukt gapake ngantri livin by mandiri
suka,1.0,suka
mandiri perbankan indonesia kekinian meningkatkan teknologi perbankannya maju bank mandiri kebangaan bangsa,1.0,mandiri bank indonesia kekinian tingkat teknologi bank dia maju bank mandiri banga bangsa
makasih membantu,1.0,makasih bantu
mantap,1.0,mantap
memuaskan,1.0,puas
nice app,1.0,nice app
membantu,1.0,bantu
ok,1.0,ok
ok,1.0,ok
terbantu apk transaksi mudah cepat praktis suka,1.0,bantu apk transaksi mudah cepat praktis suka
bagus,1.0,bagus
alhamdulilah terbantu dg livin,1.0,alhamduli lah bantu dg livin
good,1.0,good
livin ngk buka,1.0,livin ngk buka
bagus,1.0,bagus
bagus sekalih sayang lihat no kartu atmnya,1.0,bagus sekalih sayang lihat no kartu atm dia
cepat aman,1.0,cepat aman
aplikasi liat hystori transaksi kemana aja data pribadi aman aplikasi tingkat kenyamanannya karna memahami terimakasih kasih bintang karna download,1.0,aplikasi liat hystori transaksi kemana aja data pribadi aman aplikasi tingkat kenyamanan dia karna paham terimakasih kasih bintang karna download
membatu malas rumah,1.0,batu malas rumah
mantul,1.0,mantul
membantu kemudahan bertransaksi,1.0,bantu mudah transaksi
tingkatkan kualitas pelayanan jaringan aplikasi livin by mandiri,1.0,tingkat kualitas layan jaring aplikasi livin by mandiri
keren,1.0,keren
cepat aman lancar,1.0,cepat aman lancar
mantap,1.0,mantap
terbantu,1.0,bantu
keren,1.0,keren
bagus simpan nomor rekening ribet ketik ulang,1.0,bagus simpan nomor rekening ribet ketik ulang
lancar transaksi,1.0,lancar transaksi
gangguan,1.0,ganggu
ok,1.0,ok
mantap,1.0,mantap
update living mandiri,1.0,update living mandiri
ok,1.0,ok
mudah membantu,1.0,mudah bantu
kereennn,1.0,kereennn
simpel penggunaan aplikasi biru pembayaran multi payment mudah dievaluasi penambahan fitur livin terbaru thanks,1.0,simpel guna aplikasi biru bayar multi payment mudah evaluasi tambah fitur livin baru thanks
bagus memudahkan bertransaksi,1.0,bagus mudah transaksi
tampilan simple mantap dahh,1.0,tampil simple mantap dahh
sukses,1.0,sukses
memuaskan,1.0,puas
bermanfaat,1.0,manfaat
terbantu mobile banking mandiri,1.0,bantu mobile banking mandiri
praktis,1.0,praktis
memuaskan,1.0,puas
membantu transaksi menghemat atm,1.0,bantu transaksi hemat atm
mantap,1.0,mantap
good,1.0,good
amanah,1.0,amanah
manfaat,1.0,manfaat
bagus simpel penggunaanya,1.0,bagus simpel gunaa dia
mudah cepat,1.0,mudah cepat
ok,1.0,ok
aplikasi nya bagus memudahkan bertransaksi,1.0,aplikasi dia bagus mudah transaksi
cinta mandiri,1.0,cinta mandiri
bagus cocok tabungan investasi nya,1.0,bagus cocok tabung investasi dia
sesuai kebutuhan,1.0,sesuai butuh
livin by mandiri smoga jaya n sukses puas dng pelayanan nya livin by mandiri,1.0,livin by mandiri smoga jaya n sukses puas dng layan dia livin by mandiri
puas,1.0,puas
update an aplikasinya fc trus ga bsa kebukak,1.0,update an aplikasi dia fc trus ga bsa kebukak
membantu masyarakat pelayanan,1.0,bantu masyarakat layan
alhamdulillah,1.0,alhamdulil lah
mantap oke,1.0,mantap oke
bermanfa at,1.0,manfa at
wajib update apalah daya pemakai hp jadul versi terima kasih,1.0,wajib update apa lah daya pakai hp jadul versi terima kasih
oke,1.0,oke
is the best mandiri terbaik,1.0,is the best mandiri baik
lelet,1.0,lelet
eror transaksi mohon perbaiki,1.0,eror transaksi mohon perbaiki
bagus n suka,1.0,bagus n suka
kmn sdh ga bw uang cash lg bw hp,1.0,kmn sdh ga bw uang cash lg bw hp
penulisan tgl bukti transper mohon besarin,1.0,tulis tgl bukti transper mohon besarin
ok mantap,1.0,ok mantap
pokoknya the best livin kuning ok best,1.0,pokok dia the best livin kuning ok best
bagus mudah,1.0,bagus mudah
membantu bertransaksi,1.0,bantu transaksi
mantapps,1.0,mantapps
bagus banget,1.0,bagus banget
membantu,1.0,bantu
applikasi isi e wallet,1.0,applikasi isi e wallet
senang bertransaksi atm mandiri,1.0,senang transaksi atm mandiri
semoga yg terbaik,1.0,semoga yang baik
enak livin transfer lihat aja hp,1.0,enak livin transfer lihat aja hp
membantu terimakasih,1.0,bantu terimakasih
membantu,1.0,bantu
ok,1.0,ok
asik aplikasi ny mudah d pahami tq,1.0,asik aplikasi ny mudah d pahami tq
ok,1.0,ok
bermanfaat,1.0,manfaat
nice,1.0,nice
bagus,1.0,bagus
ok,1.0,ok
bagus,1.0,bagus
ok,1.0,ok
bermanfaat,1.0,manfaat
terimakasih livin transaksi semakain sempurna livin,1.0,terimakasih livin transaksi semakain sempurna livin
bagus cepat transaksi dijaga kerahasiaan,1.0,bagus cepat transaksi jaga rahasia
bagus,1.0,bagus
membantu,1.0,bantu
siippp,1.0,siippp
membantu layanan mandiri,1.0,bantu layan mandiri
bagus livinnya,1.0,bagus livin dia
pokokx membantu yg tinggal desa,1.0,pokokx bantu yang tinggal desa
mantp,1.0,mantp
aplikasi livin by membantu,1.0,aplikasi livin by bantu
ok,1.0,ok
membantu pergi tinggal klik,1.0,bantu pergi tinggal klik
semoga,1.0,semoga
lumayan mudah pahami,1.0,lumayan mudah pahami
mantap,1.0,mantap
membantu terimakasih,1.0,bantu terimakasih
mantap,1.0,mantap
yth bank mandiri tolong sistem nya perbaiki transfer mlm kendala,1.0,yth bank mandiri tolong sistem dia perbaiki transfer mlm kendala
mantap,1.0,mantap
gimana ya ngisi shopeepay ko g pilihanya d e comerse shopee shopee indonesia livin yg biru waah lengkap nih aplikasinya,1.0,gimana ya ngisi shopeepay ko g piliha dia d e comerse shopee shopee indonesia livin yang biru waah lengkap nih aplikasi dia
membantu,1.0,bantu
oke,1.0,oke
semoga bagus depannya,1.0,semoga bagus depan dia
memudahkan transaksi,1.0,mudah transaksi
terima kasih bagus bngt bantu,1.0,terima kasih bagus bngt bantu
menabung bank mandiri mudah buka rekening gampang dimana bank,1.0,tabung bank mandiri mudah buka rekening gampang dimana bank
bagus penggunaannya mudah lancar,1.0,bagus guna dia mudah lancar
memuaskan keperluan transaksi bank online apk i saku dll,1.0,puas perlu transaksi bank online apk i saku dll
ok,1.0,ok
mempermudah transaksi belanja,1.0,mudah transaksi belanja
baguss,1.0,baguss
mempermudah pekerjaan,1.0,mudah pekerja
ok mantap,1.0,ok mantap
bagus transaksi,1.0,bagus transaksi
oke,1.0,oke
ok,1.0,ok
keeereeeeeeen,1.0,keeereeeeeeen
ragu karna liat rating ulasan pake lancar cepet nyaman simple gak fitur,1.0,ragu karna liat rating ulas pake lancar cepet nyaman simple gak fitur
mandiri is the best,1.0,mandiri is the best
aplikasi yg bermanfaat,1.0,aplikasi yang manfaat
mandiri ok,1.0,mandiri ok
nice,1.0,nice
ok membantu,1.0,ok bantu
amplikasi mbanking ni puas trima kasih,1.0,amplikasi mbanking ni puas trima kasih
ok,1.0,ok
good,1.0,good
mantap,1.0,mantap
selamat sukses,1.0,selamat sukses
mantap,1.0,mantap
bgs,1.0,bgs
mantul dah,1.0,mantul dah
josss,1.0,josss
mantap menyelesaikan urusan,1.0,mantap selesai urus
ookkkkk,1.0,ookkkkk
gampang mudah nyaman,1.0,gampang mudah nyaman
ok banget mudah,1.0,ok banget mudah
mantapp,1.0,mantapp
terbantukan,1.0,bantuk
bagus membantu memudahkan pembayaran,1.0,bagus bantu mudah bayar
puas memakainya,1.0,puas pakai dia
mempermudah,1.0,mudah
kerenn banget lengkap fitur nya tampilannya,1.0,kerenn banget lengkap fitur dia tampil dia
aplikasinya mudah mantap,1.0,aplikasi dia mudah mantap
menyenangkan memakai livin mandiri,1.0,senang pakai livin mandiri
kerja,1.0,kerja
oke,1.0,oke
menyenangkan,1.0,senang
membantu,1.0,bantu
bermanfaat efektif efisien,1.0,manfaat efektif efisien
ok,1.0,ok
aplikasi membantu,1.0,aplikasi bantu
m banking nya bank mandiri sekedar m banking dapatkan promo transaksi nya,1.0,m banking dia bank mandiri sekedar m banking dapat promo transaksi dia
aplikasinya mudah,1.0,aplikasi dia mudah
bagus,1.0,bagus
yg apik bgt,1.0,yang apik bgt
mantap,1.0,mantap
simpel sih tpi semoga aja punyaku gagal pas masukan nama singkatan gelar,1.0,simpel sih tpi semoga aja punyaku gagal pas masuk nama singkat gelar
aplikasi membantu sy pribadi yg sulit utk pergi kota utk kirim uang org tua dng aplikasi membantu sy,1.0,aplikasi bantu sy pribadi yang sulit utk pergi kota utk kirim uang org tua dng aplikasi bantu sy
aplikasi lancar kendala,1.0,aplikasi lancar kendala
semoga,1.0,semoga
livin by mandiri mantap,1.0,livin by mandiri mantap
mantap cepat menyenangkan,1.0,mantap cepat senang
good,1.0,good
bagus apkikasinya riwayat nya tersimpan,1.0,bagus apkikasi dia riwayat dia simpan
transaksi cepat,1.0,transaksi cepat
aplikasi keuangan yg lengkap mudah cocok utk kalangan masarakat yg mengerti keamanan pengelolaan keuangan pribadi perusahaan,1.0,aplikasi uang yang lengkap mudah cocok utk kalangan masarakat yang mengerti aman kelola uang pribadi usaha
kemudahan transaksi terhubung dana link aja gopay gak atm,1.0,mudah transaksi hubung dana link aja gopay gak atm
proses dipercepat,1.0,proses cepat
mempermudah transaksi,1.0,mudah transaksi
lancar batasss,1.0,lancar batasss
livin by mandiri sempurna,1.0,livin by mandiri sempurna
bagus,1.0,bagus
keren tpi update ya,1.0,keren tpi update ya
mempermudah transaksi sukses,1.0,mudah transaksi sukses
menbatu uantuk tarsaksi,1.0,batu uantuk tarsaksi
membantu,1.0,bantu
mantap,1.0,mantap
mantap praktis,1.0,mantap praktis
ok,1.0,ok
mudah praktis,1.0,mudah praktis
oke mantap,1.0,oke mantap
mantul,1.0,mantul
bagus membantu,1.0,bagus bantu
mantap,1.0,mantap
okkkk bangett,1.0,okkkk bangett
bagus puas,1.0,bagus puas
tarik tunai bawa kartu banget panik lupa bawa kartu butuh cash tenang tarik tunai kartu keren helpfull banget,1.0,tarik tunai bawa kartu banget panik lupa bawa kartu butuh cash tenang tarik tunai kartu keren helpfull banget
aplikasi mudah bermanfaat makasih,1.0,aplikasi mudah manfaat makasih
update,1.0,update
memudah,1.0,pudah
bermanfaat membantu transaksi mudah makasih ya sukses berkah aamiin,1.0,manfaat bantu transaksi mudah makasih ya sukses berkah aamiin
nice kasik vocer blanja nya,1.0,nice kasik vocer blanja dia
mantap,1.0,mantap
baguss,1.0,baguss
membantu,1.0,bantu
manttaapp,1.0,manttaapp
bagus membantu,1.0,bagus bantu
mantap,1.0,mantap
baguuuussss,1.0,baguuuussss
i like it,1.0,i like it
update nya banget mohon permudah,1.0,update dia banget mohon permudah
bagus,1.0,bagus
penggunaannya mudah buka rekening repot kekantor aplikasi,1.0,guna dia mudah buka rekening repot kekantor aplikasi
bagus,1.0,bagus
mantap,1.0,mantap
living sore g buka mohon tindak,1.0,living sore g buka mohon tindak
tarik uang kartu bayar pake scan qr top up emoney langsung tempel hp transaksi pakai livin by mandiri aja,1.0,tarik uang kartu bayar pake scan qr top up emoney langsung tempel hp transaksi pagai livin by mandiri aja
gak login lg masuk kemenu utama udah minggu,1.0,gak login lg masuk kemenu utama udah minggu
bagus,1.0,bagus
mantaaap,1.0,mantaaap
mantap,1.0,mantap
keren aplikasinya,1.0,keren aplikasi dia
good,1.0,good
bagus,1.0,bagus
ok,1.0,ok
so simple,1.0,so simple
keren banget,1.0,keren banget
aplikasinya bagus,1.0,aplikasi dia bagus
aplikasi keuangan ujung jari,1.0,aplikasi uang ujung jari
ok,1.0,ok
membantu,1.0,bantu
mantap,1.0,mantap
bagus mmbantu yg tinggal yg namanya atm,1.0,bagus mmbantu yang tinggal yang nama dia atm
aplikasi yg sempurna,1.0,aplikasi yang sempurna
mempermudah aktifitas transaksi perbelanjaan,1.0,mudah aktifitas transaksi belanja
kerennn praktis,1.0,kerennn praktis
man tt ap boss ku,1.0,man tt ap boss aku
simple,1.0,simple
trimaksi mandiri,1.0,trimaksi mandiri
mantap,1.0,mantap
apk tampa ribet,1.0,apk tampa ribet
membatalkan trx tarik tunai atm tampilan livin login terlanjur mengaktifkannya membatalkan fitur trsbut karna mnurut fitur rentan mohon bantuannya trimss,1.0,batal trx tarik tunai atm tampil livin login lanjur aktif dia batal fitur trsbut karna mnurut fitur rentan mohon bantu dia trimss
mantap keren,1.0,mantap keren
good,1.0,good
oke,1.0,oke
membantu,1.0,bantu
